node,degree_centrality,closeness_centrality,betweenness_centrality,eigenvector_centrality,pagerank_centrality,clustering_coefficient
0,0.08593363051015354,0.0,0.0,0,7.724494426592372e-05,0.04196165314587463
1,0.004210004952947003,0.00024764735017335313,0.0,0,7.743425555175698e-05,0.41911764705882354
2,0.0024764735017335313,0.00024764735017335313,0.0,0,7.743425555175698e-05,0.8888888888888888
3,0.004210004952947003,0.00024764735017335313,0.0,0,7.743425555175698e-05,0.6323529411764706
4,0.0024764735017335313,0.00024764735017335313,0.0,0,7.743425555175698e-05,0.8666666666666667
5,0.0032194155522535907,0.00024764735017335313,0.0,0,7.743425555175698e-05,0.3333333333333333
6,0.0014858841010401188,0.00024764735017335313,0.0,0,7.743425555175698e-05,0.9333333333333333
7,0.004952947003467063,0.00024764735017335313,0.0,0,7.743425555175698e-05,0.43157894736842106
8,0.001981178801386825,0.00024764735017335313,0.0,0,7.743425555175698e-05,0.6785714285714286
9,0.014115898959881128,0.0004952947003467063,4.147733239655171e-05,0,8.155002866828113e-05,0.39724310776942356
10,0.0024764735017335313,0.00024764735017335313,0.0,0,7.743425555175698e-05,0.8222222222222222
11,0.00024764735017335313,0.00024764735017335313,0.0,0,7.743425555175698e-05,0
12,0.00024764735017335313,0.00024764735017335313,0.0,0,7.743425555175698e-05,0
13,0.007677067855373947,0.00024764735017335313,0.0,0,7.743425555175698e-05,0.6516129032258065
14,0.003714710252600297,0.00024764735017335313,0.0,0,7.743425555175698e-05,0.7428571428571429
15,0.00024764735017335313,0.00024764735017335313,0.0,0,7.743425555175698e-05,0
16,0.002228826151560178,0.00024764735017335313,0.0,0,7.743425555175698e-05,0.6666666666666666
17,0.0032194155522535907,0.00024764735017335313,0.0,0,7.743425555175698e-05,0.7307692307692307
18,0.00024764735017335313,0.00024764735017335313,0.0,0,7.743425555175698e-05,0
19,0.00396235760277365,0.0004952947003467063,2.971795466258827e-06,0,8.292195304045584e-05,0.2833333333333333
20,0.003714710252600297,0.0007429420505200594,7.15684687975176e-07,0,8.945492624128781e-05,0.6857142857142857
21,0.016097077761267953,0.0007924715205547301,3.197314682356831e-05,0,8.089043169245748e-05,0.3490384615384615
22,0.0027241208519068845,0.0004952947003467063,2.469842464012292e-07,0,8.090016975514575e-05,0.4727272727272727
23,0.004210004952947003,0.00024764735017335313,0.0,0,7.743425555175698e-05,0.16911764705882354
