node,degree_centrality,closeness_centrality,betweenness_centrality,eigenvector_centrality,pagerank_centrality,clustering_coefficient
30,0.003935901040202418,0.21218945450050716,5.883161492398608e-05,0.002350886576191348,0.00017349553934328338,0.15079365079365079
1412,0.004076468934495361,0.20096744343990244,0.0,0.001490275392088468,0.0008141761230496596,0.04926108374384237
3352,0.07548495923531065,0.2749800521802086,0.004332431860968848,0.08679366084685633,0.0017851250122027217,0.11341014393178656
5254,0.04188923249929716,0.2765668276533207,0.0015282548705498615,0.07851246229983878,0.0021500675059293226,0.08517596871667259
5543,0.039640146190610064,0.2617711511371707,0.0022015841120237435,0.046956407657244875,0.0010508052619841283,0.14312251473021217
7478,0.012932246274950801,0.2492828121936495,0.0,0.028279357351073914,0.000812430352613478,0.0957955088389871
3,0.007590666291818949,0.18439152655568392,6.987222987128784e-05,0.0005090875221007233,0.00020539498232448021,0.2196078431372549
28,0.03584481304470059,0.22651198554228885,0.004563992520641177,0.004785163029514965,0.0016986730322136935,0.08767799506360358
39,0.009699184706213101,0.202127808023246,0.0005066527929450625,0.0013560280174023164,0.0003439790689580259,0.18842805939580134
54,0.006606691031768344,0.2178527860949846,0.00010591081529808075,0.0029160486654594845,0.00034765464971898025,0.26161616161616164
108,0.0018273826258082652,0.17302387343283973,1.0410893008589586e-06,0.00014990315844784236,0.0004398371153454517,0.12121212121212122
152,0.01012088838909193,0.22540571657461173,0.00036799428895348957,0.004601182603961732,0.0005817197428805889,0.1560379918588874
178,0.013775653640708463,0.20126810646010201,0.0004441603056546299,0.0015228591075410539,0.00029758488331950184,0.10328947368421053
182,0.015603036266516728,0.19932571630978063,0.0004147667595808903,0.00138852936206484,0.00016083873728146714,0.13185913185913187
214,0.02459938150126511,0.2570794745051034,0.0,0.026762894361899523,0.0016599199669365457,0.06311986863711001
271,0.02698903570424515,0.2281035961164275,0.0,0.009893477103544284,0.0013349240914416604,0.1024760034904014
286,0.0026707899915659264,0.19094270229855853,0.0,0.0007433876333805617,0.00017367757770305088,0.38011695906432746
300,0.003092493674444757,0.18414514585748032,0.0,0.0005100104654659618,0.00015065607046072744,0.18614718614718614
348,0.007871802080404836,0.19394831695927034,0.00012177700731553722,0.0008880850134542295,0.00017393564565284635,0.1357142857142857
349,0.002249086308687096,0.17291983021369792,3.8921429685063013e-07,0.00015815078958382643,9.460415271381966e-05,0.21666666666666667
371,0.019820073095305032,0.19808996446534205,0.0005361097081206595,0.0011378422154188876,0.0002892903392357495,0.10102612927113086
567,0.003935901040202418,0.1990285795341498,0.00019076257128639143,0.0012329261228665011,0.00033152691295165287,0.19373219373219372
581,0.0016868147315153219,0.17424422341795495,0.0,0.0002618913413164714,0.00010905154270480289,0.2878787878787879
